"source","target","label","category","usage","publishStatus","width","height","sourceBytes","outputBytes","duplicateOf"
"close-up görseller/ChatGPT Image Jul 1, 2026, 12_25_53 AM.png","public/assets/industries/transport-infrastructure/airport/details/airport-public-concourse.webp","Airport public concourse","transport-infrastructure","application-map","review-required","1672","941","2344405","159866",""
"close-up görseller/ChatGPT Image Jul 1, 2026, 12_17_06 AM.png","public/assets/industries/transport-infrastructure/airport/details/airport-terminal-building-overview.webp","Airport terminal building overview","transport-infrastructure","application-map","review-required","1535","1024","2752116","247818",""
"close-up görseller/ChatGPT Image Jul 1, 2026, 12_19_00 AM.png","public/assets/industries/transport-infrastructure/airport/details/airport-terminal-system-gallery.webp","Airport terminal system gallery","transport-infrastructure","application-map","review-required","1536","1024","2958495","269686",""
"close-up görseller/ChatGPT Image Jul 1, 2026, 12_47_09 AM.png","public/assets/industries/transport-infrastructure/airport/details/airport-underfloor-cable-routes.webp","Airport underfloor cable routes","transport-infrastructure","application-map","review-required","1536","1024","2848318","171646",""
"1/ChatGPT Image Jul 1, 2026, 12_00_01 AM (1).png","public/assets/industries/transport-infrastructure/airport/overview/airport-application-map-overview.webp","Airport application map overview","transport-infrastructure","application-map","review-required","1672","941","2576528","194932",""
"1/ChatGPT Image Jul 1, 2026, 12_00_02 AM (4).png","public/assets/industries/transport-infrastructure/airport/zones/airport-airside-apron-zone.webp","Airport airside and apron zone","transport-infrastructure","application-map","review-required","1672","941","2234221","144842",""
"1/ChatGPT Image Jul 1, 2026, 12_00_02 AM (2).png","public/assets/industries/transport-infrastructure/airport/zones/airport-cargo-logistics-zone.webp","Airport cargo and logistics zone","transport-infrastructure","application-map","review-required","1672","941","2506776","172910",""
"1/ChatGPT Image Jul 1, 2026, 12_00_04 AM (8).png","public/assets/industries/transport-infrastructure/airport/zones/airport-electrical-substation-zone.webp","Airport electrical substation zone","transport-infrastructure","application-map","review-required","1672","941","2717424","212596",""
"1/ChatGPT Image Jul 1, 2026, 12_00_04 AM (9).png","public/assets/industries/transport-infrastructure/airport/zones/airport-fuel-utility-zone.webp","Airport fuel and utility zone","transport-infrastructure","application-map","review-required","1672","941","2665402","178006",""
"1/ChatGPT Image Jul 1, 2026, 12_00_03 AM (7).png","public/assets/industries/transport-infrastructure/airport/zones/airport-maintenance-hangar-zone.webp","Airport maintenance hangar zone","transport-infrastructure","application-map","review-required","1672","941","2419048","167460",""
"1/ChatGPT Image Jul 1, 2026, 12_00_03 AM (6).png","public/assets/industries/transport-infrastructure/airport/zones/airport-parking-ev-zone.webp","Airport parking and EV zone","transport-infrastructure","application-map","review-required","1672","941","2486953","168296",""
"1/ChatGPT Image Jul 1, 2026, 12_00_02 AM (3).png","public/assets/industries/transport-infrastructure/airport/zones/airport-terminal-building-zone.webp","Airport terminal building zone","transport-infrastructure","application-map","review-required","1672","941","2606750","195074",""
"ChatGPT Image Jun 30, 2026, 11_59_54 PM.png","public/assets/industries/transport-infrastructure/airport/zones/airport-terminal-building-zone.webp","Exact duplicate — skipped","duplicate","not-copied","duplicate-skipped","","","2606750","","1/ChatGPT Image Jul 1, 2026, 12_00_02 AM (3).png"
"1/ChatGPT Image Jul 1, 2026, 12_00_03 AM (5).png","public/assets/industries/transport-infrastructure/airport/zones/airport-utility-building-zone.webp","Airport utility building zone","transport-infrastructure","application-map","review-required","1672","941","2638301","186338",""
"sag menu/ChatGPT Image Jul 1, 2026, 12_57_47 AM (1).png","public/assets/products/thumbnails/product-busbar-trunking.webp","Busbar trunking","product-thumbnail","product-thumbnail","review-required","1448","1086","1712404","42536",""
"sag menu/ChatGPT Image Jul 1, 2026, 12_57_48 AM (3).png","public/assets/products/thumbnails/product-cable-ladder.webp","Cable ladder","product-thumbnail","product-thumbnail","review-required","1448","1086","1864564","40232",""
"sag menu/ChatGPT Image Jul 1, 2026, 12_57_47 AM (2).png","public/assets/products/thumbnails/product-cable-tray.webp","Cable tray","product-thumbnail","product-thumbnail","review-required","1448","1086","1820009","52744",""
"sag menu/ChatGPT Image Jul 1, 2026, 12_57_48 AM (4).png","public/assets/products/thumbnails/product-distribution-panel.webp","Distribution panel","product-thumbnail","product-thumbnail","review-required","1448","1086","1501996","39056",""
"sag menu/ChatGPT Image Jul 1, 2026, 12_57_48 AM (5).png","public/assets/products/thumbnails/product-earthing-bonding.webp","Earthing and bonding","product-thumbnail","product-thumbnail","review-required","1448","1086","1903661","64440",""
"sag menu/ChatGPT Image Jul 1, 2026, 12_57_37 AM.png","public/assets/products/thumbnails/product-ev-charging-infrastructure.webp","EV charging infrastructure","product-thumbnail","product-thumbnail","review-required","1448","1086","1715738","34488",""
"sag menu/ChatGPT Image Jul 1, 2026, 12_57_49 AM (10).png","public/assets/products/thumbnails/product-ev-charging-infrastructure.webp","Exact duplicate — skipped","duplicate","not-copied","duplicate-skipped","","","1715738","","sag menu/ChatGPT Image Jul 1, 2026, 12_57_37 AM.png"
"sag menu/ChatGPT Image Jul 1, 2026, 12_57_49 AM (7).png","public/assets/products/thumbnails/product-led-bus lighting.webp","Lighting busbar","product-thumbnail","product-thumbnail","review-required","1448","1086","1658577","24038",""
"sag menu/ChatGPT Image Jul 1, 2026, 12_57_48 AM (6).png","public/assets/products/thumbnails/product-lightning-protection.webp","Lightning protection","product-thumbnail","product-thumbnail","review-required","1448","1086","1773370","42454",""
"sag menu/ChatGPT Image Jul 1, 2026, 12_57_49 AM (9).png","public/assets/products/thumbnails/product-outdoor-enclosure.webp","Outdoor enclosure","product-thumbnail","product-thumbnail","review-required","1448","1086","1539773","19530",""
"sag menu/ChatGPT Image Jul 1, 2026, 12_57_49 AM (8).png","public/assets/products/thumbnails/product-support-system.webp","Support system","product-thumbnail","product-thumbnail","review-required","1448","1086","1755594","47450",""
"sag menu/ChatGPT Image Jul 1, 2026, 12_59_34 AM.png","public/assets/products/thumbnails/product-surge-protection.webp","Surge protection","product-thumbnail","product-thumbnail","review-required","1672","941","1594847","24080",""
"ChatGPT Image Jun 30, 2026, 11_42_34 PM.png","public/assets/reference/ui-mockups/airport-infrastructure-application-map-composite.webp","Airport infrastructure application-map composite","reference","reference-only","review-required","1536","1024","2525322","189656",""
"ChatGPT Image Jun 30, 2026, 11_12_56 PM.png","public/assets/reference/ui-mockups/data-centre-application-map-composite.webp","Data centre application-map composite","reference","reference-only","review-required","1536","1024","2409869","160678",""
"ChatGPT Image Jun 30, 2026, 11_18_16 PM.png","public/assets/reference/ui-mockups/data-centre-application-map-interaction-flow.webp","Data centre application-map interaction flow","reference","reference-only","review-required","1672","941","2137566","146412",""
"ChatGPT Image Jun 30, 2026, 09_48_19 PM.png","public/assets/reference/ui-mockups/industries-page-overview.webp","Industries page overview","reference","reference-only","review-required","1672","941","1819686","150080",""
"ChatGPT Image Jun 30, 2026, 09_46_41 PM.png","public/assets/reference/ui-mockups/order-flow-approved-partner-workflow.webp","Order flow and approved-partner workflow","reference","reference-only","review-required","1672","941","1528781","115984",""
"ChatGPT Image Jun 30, 2026, 11_38_42 PM.png","public/assets/reference/ui-mockups/transport-infrastructure-application-map-composite.webp","Transport infrastructure application-map composite","reference","reference-only","review-required","1536","1024","2513097","188774",""
